crash_date,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code_1,vehicle_type_code_2,crash_datetime,hour,month,month_name,day_of_week,is_weekend,is_fatal
2020-08-29,,,40.65052,-73.73309,CRAFT AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,,4342766,Station Wagon/Sport Utility Vehicle,,2020-08-29 06:30:00,6,8,August,Saturday,True,False
2020-08-29,,,40.83968,-73.929276,MAJOR DEEGAN EXPRESSWAY,,,1,0,0,0,0,0,1,0,Following Too Closely,Following Too Closely,4342727,Sedan,Station Wagon/Sport Utility Vehicle,2020-08-29 19:00:00,19,8,August,Saturday,True,False
2020-08-29,MANHATTAN,10029.0,40.79477,-73.93247,,,545 EAST 116 STREET,0,0,0,0,0,0,0,0,Unspecified,,4343343,Sedan,,2020-08-29 01:45:00,1,8,August,Saturday,True,False
2020-08-29,QUEENS,11411.0,40.701042,-73.74636,,,114-52 208 STREET,0,0,0,0,0,0,0,0,Unspecified,,4343537,Sedan,,2020-08-29 08:45:00,8,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11226.0,40.63962,-73.95477,NEWKIRK AVENUE,FLATBUSH AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4342807,Pick-up Truck,Motorbike,2020-08-29 23:19:00,23,8,August,Saturday,True,False
2020-08-29,,,40.674347,-73.82071,118 STREET,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4342796,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,2020-08-29 07:10:00,7,8,August,Saturday,True,False
2020-08-29,BRONX,10461.0,40.84307,-73.848076,EAST TREMONT AVENUE,SILVER STREET,,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,4342715,Box Truck,Motorcycle,2020-08-29 00:56:00,0,8,August,Saturday,True,False
2020-08-29,,,40.680954,-73.96768,PACIFIC STREET,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,4343433,Sedan,Sedan,2020-08-29 13:20:00,13,8,August,Saturday,True,False
2020-08-29,,,40.72948,-73.9721,FDR DRIVE,,,0,0,0,0,0,0,0,0,Unspecified,,4342728,Sedan,,2020-08-29 17:45:00,17,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11229.0,40.608727,-73.95402,,,1925 QUENTIN ROAD,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,4343158,Sedan,Bike,2020-08-29 22:11:00,22,8,August,Saturday,True,False
2020-08-29,,,40.806293,-73.93603,LEXINGTON AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,,4343336,Station Wagon/Sport Utility Vehicle,,2020-08-29 14:00:00,14,8,August,Saturday,True,False
2020-08-29,MANHATTAN,10002.0,40.717056,-73.99027,,,333 GRAND STREET,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,4343011,Sedan,Station Wagon/Sport Utility Vehicle,2020-08-29 16:30:00,16,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11221.0,40.68861,-73.92319,,,820 MONROE STREET,0,0,0,0,0,0,0,0,Unspecified,,4343421,Sedan,,2020-08-29 11:25:00,11,8,August,Saturday,True,False
2020-08-29,,,40.816204,-73.91423,BROOK AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4343139,Station Wagon/Sport Utility Vehicle,,2020-08-29 02:20:00,2,8,August,Saturday,True,False
2020-08-29,BRONX,10458.0,40.85819,-73.88435,EAST FORDHAM ROAD,HUGHES AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Passing Too Closely,4343352,Sedan,Sedan,2020-08-29 05:40:00,5,8,August,Saturday,True,False
2020-08-29,BRONX,10459.0,40.82878,-73.88901,HOME STREET,BRYANT AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,4343219,Sedan,,2020-08-29 18:36:00,18,8,August,Saturday,True,False
2020-08-29,BRONX,10457.0,40.851753,-73.889435,,,611 EAST 182 STREET,1,0,0,0,0,0,1,0,Backing Unsafely,Unsafe Speed,4343350,Taxi,Taxi,2020-08-29 19:50:00,19,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11214.0,40.612556,-74.00379,,,1612 81 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4342749,Station Wagon/Sport Utility Vehicle,,2020-08-29 17:00:00,17,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11203.0,40.652462,-73.92285,KINGS HIGHWAY,CHURCH AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4343396,Sedan,Motorbike,2020-08-29 21:45:00,21,8,August,Saturday,True,False
2020-08-29,BRONX,10453.0,40.855785,-73.90558,JEROME AVENUE,WEST 181 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4343377,Sedan,Sedan,2020-08-29 14:30:00,14,8,August,Saturday,True,False
2020-08-29,QUEENS,11411.0,40.694534,-73.74045,,,117-39 220 STREET,0,0,0,0,0,0,0,0,Unspecified,,4342767,Sedan,,2020-08-29 20:51:00,20,8,August,Saturday,True,False
2020-08-29,,,40.68719,-73.974625,LAFAYETTE AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4343042,Station Wagon/Sport Utility Vehicle,Sedan,2020-08-29 17:17:00,17,8,August,Saturday,True,False
2020-08-29,BRONX,10456.0,40.831482,-73.89976,,,1315 BOSTON ROAD,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,4343192,Sedan,Station Wagon/Sport Utility Vehicle,2020-08-29 20:53:00,20,8,August,Saturday,True,False
2020-08-29,MANHATTAN,10032.0,40.838158,-73.94298,,,619 WEST 163 STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,4343050,Bike,Motorcycle,2020-08-29 19:34:00,19,8,August,Saturday,True,False
2020-08-29,BRONX,10466.0,40.895134,-73.85216,DIGNEY AVENUE,PITMAN AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,4343251,Sedan,,2020-08-29 00:00:00,0,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11226.0,40.637276,-73.958595,,,1030 OCEAN AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4342811,Sedan,Sedan,2020-08-29 15:50:00,15,8,August,Saturday,True,False
2020-08-29,,,40.730446,-73.98035,EAST 14 STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4342672,Sedan,Station Wagon/Sport Utility Vehicle,2020-08-29 00:00:00,0,8,August,Saturday,True,False
2020-08-29,,,,,GRAND CENTRAL PARKWAY,,,0,0,0,0,0,0,0,0,Unspecified,,4343390,Sedan,,2020-08-29 14:17:00,14,8,August,Saturday,True,False
2020-08-29,,,40.582977,-73.98042,BELT PARKWAY,,,4,0,0,0,0,0,4,0,Failure to Keep Right,Unspecified,4342752,Station Wagon/Sport Utility Vehicle,Sedan,2020-08-29 19:39:00,19,8,August,Saturday,True,False
2020-08-29,QUEENS,11356.0,40.781647,-73.833664,,,135-06 20 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4342772,Station Wagon/Sport Utility Vehicle,,2020-08-29 17:00:00,17,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11236.0,40.64323,-73.90525,,,9312 GLENWOOD ROAD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4342893,Station Wagon/Sport Utility Vehicle,Sedan,2020-08-29 09:09:00,9,8,August,Saturday,True,False
2020-08-29,,,40.77008,-73.94784,FDR DRIVE,,,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,4342730,Sedan,Sedan,2020-08-29 18:20:00,18,8,August,Saturday,True,False
2020-08-29,QUEENS,11105.0,40.772854,-73.90607,STEINWAY STREET,DITMARS BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4342791,Sedan,Sedan,2020-08-29 11:10:00,11,8,August,Saturday,True,False
2020-08-29,BRONX,10461.0,40.848183,-73.84981,,,1660 WILLIAMSBRIDGE ROAD,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4343262,Sedan,,2020-08-29 12:30:00,12,8,August,Saturday,True,False
2020-08-29,,,40.7025,-73.91633,HARMAN STREET,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4343510,Sedan,Bike,2020-08-29 23:44:00,23,8,August,Saturday,True,False
2020-08-29,BROOKLYN,11234.0,40.61756,-73.91493,AVENUE T,EAST 63 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4343227,Station Wagon/Sport Utility Vehicle,Sedan,2020-08-29 15:41:00,15,8,August,Saturday,True,False
2020-08-29,,,,,NEW ENGLAND THRUWAY,,,0,0,0,0,0,0,0,0,Unsafe Speed,,4342696,Station Wagon/Sport Utility Vehicle,,2020-08-29 07:30:00,7,8,August,Saturday,True,False
2020-08-29,,,40.858707,-73.9037,JEROME AVENUE,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4343376,Sedan,Motorcycle,2020-08-29 00:57:00,0,8,August,Saturday,True,False
2020-08-29,,,40.731304,-73.925964,BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4343380,Sedan,Sedan,2020-08-29 21:00:00,21,8,August,Saturday,True,False
2020-08-29,,,40.63683,-74.139114,,,140 HARRISON AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4343297,Sedan,Sedan,2020-08-29 02:20:00,2,8,August,Saturday,True,False
